"date","RSV cases overall","RSV cases 0-4","RSV cases 5-17","RSV cases 18-64","RSV cases 65+","RSV cases Bronx","RSV cases Brooklyn","RSV cases Manhattan","RSV cases Queens","RSV cases Staten Island"
"01/03/2026","2344","1076","273","636","359","2431","3671","2060","3876","963"
"01/10/2026","2326","900","242","763","421","1452","2361","1555","2369","501"
"01/17/2026","2342","1000","293","662","387","681","1160","731","1121","250"
"01/24/2026","2283","965","334","620","362","449","661","436","548","148"
"01/31/2026","2064","898","279","577","310","272","380","355","373","83"
"02/07/2026","2203","840","306","678","379","298","458","454","458","107"
"02/14/2026","2336","858","381","678","419","357","575","543","574","147"
"02/21/2026","2279","819","264","752","444","524","704","611","812","189"
"02/28/2026","1784","632","161","610","381","421","492","402","590","122"
"03/07/2026","1655","487","147","564","457","572","665","502","633","184"
"03/14/2026","1566","550","161","476","379","702","866","595","854","160"
"03/21/2026","1372","441","127","464","339","854","1089","698","1027","272"
