"date","metric","submetric","value","display"
2023-09-09,"Respiratory illness visits","Overall",8.24,"Percent"
2023-09-16,"Respiratory illness visits","Overall",8.41,"Percent"
2023-09-23,"Respiratory illness visits","Overall",10.33,"Percent"
2023-09-30,"Respiratory illness visits","Overall",10.78,"Percent"
2023-10-07,"Respiratory illness visits","Overall",10.57,"Percent"
2023-10-14,"Respiratory illness visits","Overall",11.15,"Percent"
2023-10-21,"Respiratory illness visits","Overall",11.77,"Percent"
2023-10-28,"Respiratory illness visits","Overall",12.16,"Percent"
2023-11-04,"Respiratory illness visits","Overall",12.38,"Percent"
2023-11-11,"Respiratory illness visits","Overall",13.82,"Percent"
2023-11-18,"Respiratory illness visits","Overall",14.2,"Percent"
2023-11-25,"Respiratory illness visits","Overall",15.03,"Percent"
2023-12-02,"Respiratory illness visits","Overall",15.82,"Percent"
2023-12-09,"Respiratory illness visits","Overall",16.48,"Percent"
2023-12-16,"Respiratory illness visits","Overall",18.05,"Percent"
2023-12-23,"Respiratory illness visits","Overall",20.07,"Percent"
2023-12-30,"Respiratory illness visits","Overall",22.65,"Percent"
2024-01-06,"Respiratory illness visits","Overall",19.47,"Percent"
2024-01-13,"Respiratory illness visits","Overall",17.79,"Percent"
2024-01-20,"Respiratory illness visits","Overall",16.07,"Percent"
2024-01-27,"Respiratory illness visits","Overall",15.38,"Percent"
2024-02-03,"Respiratory illness visits","Overall",14.74,"Percent"
2024-02-10,"Respiratory illness visits","Overall",14.68,"Percent"
2024-02-17,"Respiratory illness visits","Overall",14.41,"Percent"
2024-02-24,"Respiratory illness visits","Overall",13.51,"Percent"
2024-03-02,"Respiratory illness visits","Overall",12.61,"Percent"
2024-03-09,"Respiratory illness visits","Overall",11.67,"Percent"
2024-03-16,"Respiratory illness visits","Overall",11.5,"Percent"
2024-03-23,"Respiratory illness visits","Overall",11.5,"Percent"
2024-03-30,"Respiratory illness visits","Overall",11.59,"Percent"
2024-04-06,"Respiratory illness visits","Overall",11.48,"Percent"
2024-04-13,"Respiratory illness visits","Overall",10.81,"Percent"
2024-04-20,"Respiratory illness visits","Overall",10.39,"Percent"
2024-04-27,"Respiratory illness visits","Overall",9.98,"Percent"
2024-05-04,"Respiratory illness visits","Overall",9,"Percent"
2024-05-11,"Respiratory illness visits","Overall",8.73,"Percent"
2024-05-18,"Respiratory illness visits","Overall",9.41,"Percent"
2024-05-25,"Respiratory illness visits","Overall",9.05,"Percent"
2024-06-01,"Respiratory illness visits","Overall",8.94,"Percent"
2024-06-08,"Respiratory illness visits","Overall",8.71,"Percent"
2024-06-15,"Respiratory illness visits","Overall",8.59,"Percent"
2024-06-22,"Respiratory illness visits","Overall",8.16,"Percent"
2024-06-29,"Respiratory illness visits","Overall",8.17,"Percent"
2024-07-06,"Respiratory illness visits","Overall",8,"Percent"
2024-07-13,"Respiratory illness visits","Overall",7.27,"Percent"
2024-07-20,"Respiratory illness visits","Overall",7.3,"Percent"
2024-07-27,"Respiratory illness visits","Overall",7.49,"Percent"
2024-08-03,"Respiratory illness visits","Overall",7.72,"Percent"
2024-08-10,"Respiratory illness visits","Overall",7.2,"Percent"
2024-08-17,"Respiratory illness visits","Overall",7.53,"Percent"
2024-08-24,"Respiratory illness visits","Overall",7.48,"Percent"
2024-08-31,"Respiratory illness visits","Overall",7.51,"Percent"
2024-09-07,"Respiratory illness visits","Overall",7.6,"Percent"
2024-09-14,"Respiratory illness visits","Overall",8.44,"Percent"
2024-09-21,"Respiratory illness visits","Overall",9.9,"Percent"
2024-09-28,"Respiratory illness visits","Overall",9.84,"Percent"
2024-10-05,"Respiratory illness visits","Overall",9.86,"Percent"
2024-10-12,"Respiratory illness visits","Overall",10.18,"Percent"
2024-10-19,"Respiratory illness visits","Overall",10.42,"Percent"
2024-10-26,"Respiratory illness visits","Overall",10.58,"Percent"
2024-11-02,"Respiratory illness visits","Overall",10.22,"Percent"
2024-11-09,"Respiratory illness visits","Overall",10.95,"Percent"
2024-11-16,"Respiratory illness visits","Overall",11.36,"Percent"
2024-11-23,"Respiratory illness visits","Overall",11.86,"Percent"
2024-11-30,"Respiratory illness visits","Overall",12.77,"Percent"
2024-12-07,"Respiratory illness visits","Overall",13.36,"Percent"
2024-12-14,"Respiratory illness visits","Overall",14.23,"Percent"
2024-12-21,"Respiratory illness visits","Overall",15.37,"Percent"
2024-12-28,"Respiratory illness visits","Overall",18.36,"Percent"
2025-01-04,"Respiratory illness visits","Overall",18.74,"Percent"
2025-01-11,"Respiratory illness visits","Overall",17.74,"Percent"
2025-01-18,"Respiratory illness visits","Overall",19.29,"Percent"
2025-01-25,"Respiratory illness visits","Overall",19.88,"Percent"
2025-02-01,"Respiratory illness visits","Overall",18.67,"Percent"
2025-02-08,"Respiratory illness visits","Overall",17.22,"Percent"
2025-02-15,"Respiratory illness visits","Overall",15.41,"Percent"
2025-02-22,"Respiratory illness visits","Overall",13.88,"Percent"
2025-03-01,"Respiratory illness visits","Overall",11.95,"Percent"
2025-03-08,"Respiratory illness visits","Overall",11.43,"Percent"
2025-03-15,"Respiratory illness visits","Overall",11.26,"Percent"
2025-03-22,"Respiratory illness visits","Overall",11.19,"Percent"
2025-03-29,"Respiratory illness visits","Overall",11.02,"Percent"
2025-04-05,"Respiratory illness visits","Overall",10.62,"Percent"
2025-04-12,"Respiratory illness visits","Overall",10.2,"Percent"
2025-04-19,"Respiratory illness visits","Overall",9.27,"Percent"
2025-04-26,"Respiratory illness visits","Overall",8.84,"Percent"
2025-05-03,"Respiratory illness visits","Overall",8.63,"Percent"
2025-05-10,"Respiratory illness visits","Overall",7.91,"Percent"
2025-05-17,"Respiratory illness visits","Overall",8.37,"Percent"
2025-05-24,"Respiratory illness visits","Overall",8.52,"Percent"
2025-05-31,"Respiratory illness visits","Overall",8.7,"Percent"
2025-06-07,"Respiratory illness visits","Overall",8.25,"Percent"
2025-06-14,"Respiratory illness visits","Overall",7.87,"Percent"
2025-06-21,"Respiratory illness visits","Overall",7.95,"Percent"
2025-06-28,"Respiratory illness visits","Overall",7.39,"Percent"
2025-07-05,"Respiratory illness visits","Overall",7.05,"Percent"
2025-07-12,"Respiratory illness visits","Overall",6.76,"Percent"
2025-07-19,"Respiratory illness visits","Overall",6.34,"Percent"
2025-07-26,"Respiratory illness visits","Overall",6.48,"Percent"
2025-08-02,"Respiratory illness visits","Overall",6.59,"Percent"
2025-08-09,"Respiratory illness visits","Overall",6.98,"Percent"
2025-08-16,"Respiratory illness visits","Overall",6.78,"Percent"
2025-08-23,"Respiratory illness visits","Overall",6.56,"Percent"
2025-08-30,"Respiratory illness visits","Overall",6.52,"Percent"
2025-09-06,"Respiratory illness visits","Overall",6.57,"Percent"
2025-09-13,"Respiratory illness visits","Overall",6.98,"Percent"
2025-09-20,"Respiratory illness visits","Overall",8.19,"Percent"
2025-09-27,"Respiratory illness visits","Overall",8.31,"Percent"
2025-10-04,"Respiratory illness visits","Overall",7.98,"Percent"
2025-10-11,"Respiratory illness visits","Overall",7.7,"Percent"
2025-10-18,"Respiratory illness visits","Overall",7.93,"Percent"
2025-10-25,"Respiratory illness visits","Overall",8.23,"Percent"
2025-11-01,"Respiratory illness visits","Overall",8.48,"Percent"
2025-11-08,"Respiratory illness visits","Overall",9.39,"Percent"
2025-11-15,"Respiratory illness visits","Overall",9.6,"Percent"
2025-11-22,"Respiratory illness visits","Overall",11.43,"Percent"
2025-11-29,"Respiratory illness visits","Overall",14.9,"Percent"
2025-12-06,"Respiratory illness visits","Overall",16.44,"Percent"
2025-12-13,"Respiratory illness visits","Overall",20.57,"Percent"
2025-12-20,"Respiratory illness visits","Overall",23.69,"Percent"
2025-12-27,"Respiratory illness visits","Overall",22.36,"Percent"
2026-01-03,"Respiratory illness visits","Overall",17.31,"Percent"
2026-01-10,"Respiratory illness visits","Overall",13.15,"Percent"
2026-01-17,"Respiratory illness visits","Overall",10.6,"Percent"
2026-01-24,"Respiratory illness visits","Overall",9.9,"Percent"
2026-01-31,"Respiratory illness visits","Overall",9.42,"Percent"
2026-02-07,"Respiratory illness visits","Overall",9.34,"Percent"
2026-02-14,"Respiratory illness visits","Overall",9.63,"Percent"
2026-02-21,"Respiratory illness visits","Overall",10.37,"Percent"
2026-02-28,"Respiratory illness visits","Overall",9.07,"Percent"
2026-03-07,"Respiratory illness visits","Overall",8.97,"Percent"
2026-03-14,"Respiratory illness visits","Overall",9.4,"Percent"
2026-03-21,"Respiratory illness visits","Overall",10.37,"Percent"
2026-03-28,"Respiratory illness visits","Overall",10.7,"Percent"
2026-04-04,"Respiratory illness visits","Overall",10.41,"Percent"
2026-04-11,"Respiratory illness visits","Overall",8.83,"Percent"
2026-04-18,"Respiratory illness visits","Overall",7.76,"Percent"
2026-04-25,"Respiratory illness visits","Overall",7.84,"Percent"
2026-05-02,"Respiratory illness visits","Overall",8.33,"Percent"
2026-05-09,"Respiratory illness visits","Overall",8.78,"Percent"
2026-05-16,"Respiratory illness visits","Overall",8.61,"Percent"
2026-05-23,"Respiratory illness visits","Overall",8.08,"Percent"
2026-05-30,"Respiratory illness visits","Overall",7.84,"Percent"
2026-06-06,"Respiratory illness visits","Overall",7.48,"Percent"
2026-06-13,"Respiratory illness visits","Overall",6.83,"Percent"
2026-06-20,"Respiratory illness visits","Overall",6.76,"Percent"
2026-06-27,"Respiratory illness visits","Overall",6.57,"Percent"
2026-07-04,"Respiratory illness visits","Overall",6.52,"Percent"
2026-07-11,"Respiratory illness visits","Overall",6.17,"Percent"
2026-07-18,"Respiratory illness visits","Overall",6.02,"Percent"
2026-07-25,"Respiratory illness visits","Overall",5.9,"Percent"
2026-08-01,"Respiratory illness visits","Overall",5.71,"Percent"
2026-08-08,"Respiratory illness visits","Overall",5.49,"Percent"
2026-08-15,"Respiratory illness visits","Overall",5.66,"Percent"
2026-08-22,"Respiratory illness visits","Overall",5.97,"Percent"
2026-08-29,"Respiratory illness visits","Overall",5.91,"Percent"
2026-09-05,"Respiratory illness visits","Overall",6.05,"Percent"
2023-09-09,"Respiratory illness hospitalizations","Overall",8.44,"Percent"
2023-09-16,"Respiratory illness hospitalizations","Overall",7.99,"Percent"
2023-09-23,"Respiratory illness hospitalizations","Overall",8.27,"Percent"
2023-09-30,"Respiratory illness hospitalizations","Overall",8.9,"Percent"
2023-10-07,"Respiratory illness hospitalizations","Overall",9.27,"Percent"
2023-10-14,"Respiratory illness hospitalizations","Overall",8.85,"Percent"
2023-10-21,"Respiratory illness hospitalizations","Overall",9.54,"Percent"
2023-10-28,"Respiratory illness hospitalizations","Overall",9.08,"Percent"
2023-11-04,"Respiratory illness hospitalizations","Overall",9.04,"Percent"
2023-11-11,"Respiratory illness hospitalizations","Overall",10.64,"Percent"
2023-11-18,"Respiratory illness hospitalizations","Overall",10.54,"Percent"
2023-11-25,"Respiratory illness hospitalizations","Overall",11.12,"Percent"
2023-12-02,"Respiratory illness hospitalizations","Overall",11.48,"Percent"
2023-12-09,"Respiratory illness hospitalizations","Overall",12.14,"Percent"
2023-12-16,"Respiratory illness hospitalizations","Overall",12.73,"Percent"
2023-12-23,"Respiratory illness hospitalizations","Overall",13.77,"Percent"
