"date","metric","submetric","value","display"
2026-04-25,"Respiratory illness visits","Overall",7.84,"Percent"
2026-05-02,"Respiratory illness visits","Overall",8.33,"Percent"
2026-05-09,"Respiratory illness visits","Overall",8.78,"Percent"
2026-05-16,"Respiratory illness visits","Overall",8.61,"Percent"
2026-05-23,"Respiratory illness visits","Overall",8.09,"Percent"
2026-05-30,"Respiratory illness visits","Overall",7.84,"Percent"
2026-06-06,"Respiratory illness visits","Overall",7.48,"Percent"
2026-06-13,"Respiratory illness visits","Overall",6.83,"Percent"
2026-06-20,"Respiratory illness visits","Overall",6.76,"Percent"
2026-06-27,"Respiratory illness visits","Overall",6.58,"Percent"
2026-07-04,"Respiratory illness visits","Overall",6.52,"Percent"
2026-07-11,"Respiratory illness visits","Overall",6.08,"Percent"
2026-04-25,"Respiratory illness hospitalizations","Overall",6.1,"Percent"
2026-05-02,"Respiratory illness hospitalizations","Overall",6.06,"Percent"
2026-05-09,"Respiratory illness hospitalizations","Overall",6.12,"Percent"
2026-05-16,"Respiratory illness hospitalizations","Overall",5.5,"Percent"
2026-05-23,"Respiratory illness hospitalizations","Overall",5.74,"Percent"
2026-05-30,"Respiratory illness hospitalizations","Overall",6.5,"Percent"
2026-06-06,"Respiratory illness hospitalizations","Overall",6.39,"Percent"
2026-06-13,"Respiratory illness hospitalizations","Overall",6.61,"Percent"
2026-06-20,"Respiratory illness hospitalizations","Overall",6.5,"Percent"
2026-06-27,"Respiratory illness hospitalizations","Overall",6.38,"Percent"
2026-07-04,"Respiratory illness hospitalizations","Overall",6.78,"Percent"
2026-07-11,"Respiratory illness hospitalizations","Overall",6.22,"Percent"
2026-04-25,"COVID-19 visits","Overall",0.14,"Percent"
2026-05-02,"COVID-19 visits","Overall",0.14,"Percent"
2026-05-09,"COVID-19 visits","Overall",0.15,"Percent"
2026-05-16,"COVID-19 visits","Overall",0.12,"Percent"
2026-05-23,"COVID-19 visits","Overall",0.13,"Percent"
2026-05-30,"COVID-19 visits","Overall",0.09,"Percent"
2026-06-06,"COVID-19 visits","Overall",0.11,"Percent"
2026-06-13,"COVID-19 visits","Overall",0.11,"Percent"
2026-06-20,"COVID-19 visits","Overall",0.06,"Percent"
2026-06-27,"COVID-19 visits","Overall",0.08,"Percent"
2026-07-04,"COVID-19 visits","Overall",0.15,"Percent"
2026-07-11,"COVID-19 visits","Overall",0.11,"Percent"
2026-04-25,"COVID-19 visits by age group","0-4",0.55,"Percent"
2026-05-02,"COVID-19 visits by age group","0-4",0.45,"Percent"
2026-05-09,"COVID-19 visits by age group","0-4",0.27,"Percent"
2026-05-16,"COVID-19 visits by age group","0-4",0.28,"Percent"
2026-05-23,"COVID-19 visits by age group","0-4",0.32,"Percent"
2026-05-30,"COVID-19 visits by age group","0-4",0.14,"Percent"
2026-06-06,"COVID-19 visits by age group","0-4",0.37,"Percent"
2026-06-13,"COVID-19 visits by age group","0-4",0.31,"Percent"
2026-06-20,"COVID-19 visits by age group","0-4",0.28,"Percent"
2026-06-27,"COVID-19 visits by age group","0-4",0.26,"Percent"
2026-07-04,"COVID-19 visits by age group","0-4",0.41,"Percent"
2026-07-11,"COVID-19 visits by age group","0-4",0.36,"Percent"
2026-04-25,"COVID-19 visits by age group","5-17",0.16,"Percent"
2026-05-02,"COVID-19 visits by age group","5-17",0.14,"Percent"
2026-05-09,"COVID-19 visits by age group","5-17",0.08,"Percent"
2026-05-16,"COVID-19 visits by age group","5-17",0.06,"Percent"
2026-05-23,"COVID-19 visits by age group","5-17",0.07,"Percent"
2026-05-30,"COVID-19 visits by age group","5-17",0.02,"Percent"
2026-06-06,"COVID-19 visits by age group","5-17",0.05,"Percent"
2026-06-13,"COVID-19 visits by age group","5-17",0.02,"Percent"
2026-06-20,"COVID-19 visits by age group","5-17",0.02,"Percent"
2026-06-27,"COVID-19 visits by age group","5-17",0.07,"Percent"
2026-07-04,"COVID-19 visits by age group","5-17",0.04,"Percent"
2026-07-11,"COVID-19 visits by age group","5-17",0.02,"Percent"
2026-04-25,"COVID-19 visits by age group","18-64",0.07,"Percent"
2026-05-02,"COVID-19 visits by age group","18-64",0.11,"Percent"
2026-05-09,"COVID-19 visits by age group","18-64",0.12,"Percent"
2026-05-16,"COVID-19 visits by age group","18-64",0.09,"Percent"
2026-05-23,"COVID-19 visits by age group","18-64",0.11,"Percent"
2026-05-30,"COVID-19 visits by age group","18-64",0.07,"Percent"
2026-06-06,"COVID-19 visits by age group","18-64",0.07,"Percent"
2026-06-13,"COVID-19 visits by age group","18-64",0.08,"Percent"
2026-06-20,"COVID-19 visits by age group","18-64",0.04,"Percent"
2026-06-27,"COVID-19 visits by age group","18-64",0.07,"Percent"
2026-07-04,"COVID-19 visits by age group","18-64",0.11,"Percent"
2026-07-11,"COVID-19 visits by age group","18-64",0.1,"Percent"
2026-04-25,"COVID-19 visits by age group","65+",0.24,"Percent"
2026-05-02,"COVID-19 visits by age group","65+",0.15,"Percent"
2026-05-09,"COVID-19 visits by age group","65+",0.23,"Percent"
2026-05-16,"COVID-19 visits by age group","65+",0.19,"Percent"
2026-05-23,"COVID-19 visits by age group","65+",0.16,"Percent"
2026-05-30,"COVID-19 visits by age group","65+",0.15,"Percent"
2026-06-06,"COVID-19 visits by age group","65+",0.15,"Percent"
2026-06-13,"COVID-19 visits by age group","65+",0.16,"Percent"
2026-06-20,"COVID-19 visits by age group","65+",0.08,"Percent"
2026-06-27,"COVID-19 visits by age group","65+",0.07,"Percent"
2026-07-04,"COVID-19 visits by age group","65+",0.26,"Percent"
2026-07-11,"COVID-19 visits by age group","65+",0.09,"Percent"
2026-04-25,"COVID-19 visits by borough","Bronx",0.16,"Percent"
2026-05-02,"COVID-19 visits by borough","Bronx",0.16,"Percent"
2026-05-09,"COVID-19 visits by borough","Bronx",0.18,"Percent"
2026-05-16,"COVID-19 visits by borough","Bronx",0.13,"Percent"
2026-05-23,"COVID-19 visits by borough","Bronx",0.13,"Percent"
2026-05-30,"COVID-19 visits by borough","Bronx",0.08,"Percent"
2026-06-06,"COVID-19 visits by borough","Bronx",0.17,"Percent"
2026-06-13,"COVID-19 visits by borough","Bronx",0.19,"Percent"
2026-06-20,"COVID-19 visits by borough","Bronx",0.08,"Percent"
2026-06-27,"COVID-19 visits by borough","Bronx",0.15,"Percent"
2026-07-04,"COVID-19 visits by borough","Bronx",0.17,"Percent"
2026-07-11,"COVID-19 visits by borough","Bronx",0.12,"Percent"
2026-04-25,"COVID-19 visits by borough","Brooklyn",0.15,"Percent"
2026-05-02,"COVID-19 visits by borough","Brooklyn",0.16,"Percent"
2026-05-09,"COVID-19 visits by borough","Brooklyn",0.13,"Percent"
2026-05-16,"COVID-19 visits by borough","Brooklyn",0.14,"Percent"
2026-05-23,"COVID-19 visits by borough","Brooklyn",0.09,"Percent"
2026-05-30,"COVID-19 visits by borough","Brooklyn",0.07,"Percent"
2026-06-06,"COVID-19 visits by borough","Brooklyn",0.09,"Percent"
2026-06-13,"COVID-19 visits by borough","Brooklyn",0.06,"Percent"
2026-06-20,"COVID-19 visits by borough","Brooklyn",0.06,"Percent"
2026-06-27,"COVID-19 visits by borough","Brooklyn",0.03,"Percent"
2026-07-04,"COVID-19 visits by borough","Brooklyn",0.12,"Percent"
2026-07-11,"COVID-19 visits by borough","Brooklyn",0.09,"Percent"
2026-04-25,"COVID-19 visits by borough","Manhattan",0.09,"Percent"
2026-05-02,"COVID-19 visits by borough","Manhattan",0.11,"Percent"
2026-05-09,"COVID-19 visits by borough","Manhattan",0.14,"Percent"
2026-05-16,"COVID-19 visits by borough","Manhattan",0.08,"Percent"
2026-05-23,"COVID-19 visits by borough","Manhattan",0.15,"Percent"
2026-05-30,"COVID-19 visits by borough","Manhattan",0.07,"Percent"
2026-06-06,"COVID-19 visits by borough","Manhattan",0.07,"Percent"
2026-06-13,"COVID-19 visits by borough","Manhattan",0.06,"Percent"
2026-06-20,"COVID-19 visits by borough","Manhattan",0.06,"Percent"
2026-06-27,"COVID-19 visits by borough","Manhattan",0.09,"Percent"
2026-07-04,"COVID-19 visits by borough","Manhattan",0.13,"Percent"
2026-07-11,"COVID-19 visits by borough","Manhattan",0.1,"Percent"
2026-04-25,"COVID-19 visits by borough","Queens",0.16,"Percent"
2026-05-02,"COVID-19 visits by borough","Queens",0.12,"Percent"
2026-05-09,"COVID-19 visits by borough","Queens",0.16,"Percent"
2026-05-16,"COVID-19 visits by borough","Queens",0.12,"Percent"
2026-05-23,"COVID-19 visits by borough","Queens",0.15,"Percent"
2026-05-30,"COVID-19 visits by borough","Queens",0.12,"Percent"
2026-06-06,"COVID-19 visits by borough","Queens",0.08,"Percent"
2026-06-13,"COVID-19 visits by borough","Queens",0.12,"Percent"
2026-06-20,"COVID-19 visits by borough","Queens",0.04,"Percent"
2026-06-27,"COVID-19 visits by borough","Queens",0.1,"Percent"
2026-07-04,"COVID-19 visits by borough","Queens",0.21,"Percent"
2026-07-11,"COVID-19 visits by borough","Queens",0.15,"Percent"
2026-04-25,"COVID-19 visits by borough","Staten Island",0.18,"Percent"
2026-05-02,"COVID-19 visits by borough","Staten Island",0.13,"Percent"
2026-05-09,"COVID-19 visits by borough","Staten Island",0.05,"Percent"
2026-05-16,"COVID-19 visits by borough","Staten Island",0.07,"Percent"
2026-05-23,"COVID-19 visits by borough","Staten Island",0.17,"Percent"
2026-05-30,"COVID-19 visits by borough","Staten Island",0.12,"Percent"
2026-06-06,"COVID-19 visits by borough","Staten Island",0.13,"Percent"
2026-06-13,"COVID-19 visits by borough","Staten Island",0.05,"Percent"
2026-06-20,"COVID-19 visits by borough","Staten Island",0.05,"Percent"
2026-06-27,"COVID-19 visits by borough","Staten Island",0,"Percent"
2026-07-04,"COVID-19 visits by borough","Staten Island",0.08,"Percent"
2026-07-11,"COVID-19 visits by borough","Staten Island",0,"Percent"
2026-04-25,"COVID-19 hospitalizations","Overall",0.14,"Percent"
2026-05-02,"COVID-19 hospitalizations","Overall",0.11,"Percent"
2026-05-09,"COVID-19 hospitalizations","Overall",0.13,"Percent"
2026-05-16,"COVID-19 hospitalizations","Overall",0.13,"Percent"
2026-05-23,"COVID-19 hospitalizations","Overall",0.1,"Percent"
2026-05-30,"COVID-19 hospitalizations","Overall",0.08,"Percent"
2026-06-06,"COVID-19 hospitalizations","Overall",0.12,"Percent"
2026-06-13,"COVID-19 hospitalizations","Overall",0.06,"Percent"
2026-06-20,"COVID-19 hospitalizations","Overall",0.07,"Percent"
2026-06-27,"COVID-19 hospitalizations","Overall",0.04,"Percent"
2026-07-04,"COVID-19 hospitalizations","Overall",0.13,"Percent"
2026-07-11,"COVID-19 hospitalizations","Overall",0.06,"Percent"
2026-04-25,"COVID-19 hospitalizations by age group","0-4",0,"Percent"
2026-05-02,"COVID-19 hospitalizations by age group","0-4",0.32,"Percent"
2026-05-09,"COVID-19 hospitalizations by age group","0-4",0,"Percent"
2026-05-16,"COVID-19 hospitalizations by age group","0-4",0,"Percent"
2026-05-23,"COVID-19 hospitalizations by age group","0-4",0.36,"Percent"
2026-05-30,"COVID-19 hospitalizations by age group","0-4",0,"Percent"
2026-06-06,"COVID-19 hospitalizations by age group","0-4",1.45,"Percent"
2026-06-13,"COVID-19 hospitalizations by age group","0-4",0,"Percent"
2026-06-20,"COVID-19 hospitalizations by age group","0-4",0.92,"Percent"
2026-06-27,"COVID-19 hospitalizations by age group","0-4",0,"Percent"
2026-07-04,"COVID-19 hospitalizations by age group","0-4",0,"Percent"
2026-07-11,"COVID-19 hospitalizations by age group","0-4",0,"Percent"
2026-04-25,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-05-02,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-05-09,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-05-16,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-05-23,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-05-30,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-06-06,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-06-13,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-06-20,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-06-27,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-07-04,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
2026-07-11,"COVID-19 hospitalizations by age group","5-17",0,"Percent"
