date,metric,submetric,value,display
9/9/2023,COVID-19 deaths,Total,24,Number
9/16/2023,COVID-19 deaths,Total,32,Number
9/23/2023,COVID-19 deaths,Total,35,Number
9/30/2023,COVID-19 deaths,Total,32,Number
10/7/2023,COVID-19 deaths,Total,28,Number
10/14/2023,COVID-19 deaths,Total,35,Number
10/21/2023,COVID-19 deaths,Total,26,Number
10/28/2023,COVID-19 deaths,Total,23,Number
11/4/2023,COVID-19 deaths,Total,20,Number
11/11/2023,COVID-19 deaths,Total,20,Number
11/18/2023,COVID-19 deaths,Total,16,Number
11/25/2023,COVID-19 deaths,Total,18,Number
12/2/2023,COVID-19 deaths,Total,27,Number
12/9/2023,COVID-19 deaths,Total,27,Number
12/16/2023,COVID-19 deaths,Total,27,Number
12/23/2023,COVID-19 deaths,Total,43,Number
12/30/2023,COVID-19 deaths,Total,37,Number
1/6/2024,COVID-19 deaths,Total,66,Number
1/13/2024,COVID-19 deaths,Total,72,Number
1/20/2024,COVID-19 deaths,Total,90,Number
1/27/2024,COVID-19 deaths,Total,65,Number
2/3/2024,COVID-19 deaths,Total,54,Number
2/10/2024,COVID-19 deaths,Total,40,Number
2/17/2024,COVID-19 deaths,Total,34,Number
2/24/2024,COVID-19 deaths,Total,29,Number
3/2/2024,COVID-19 deaths,Total,30,Number
3/9/2024,COVID-19 deaths,Total,16,Number
3/16/2024,COVID-19 deaths,Total,23,Number
3/23/2024,COVID-19 deaths,Total,18,Number
3/30/2024,COVID-19 deaths,Total,10,Number
4/6/2024,COVID-19 deaths,Total,13,Number
4/13/2024,COVID-19 deaths,Total,14,Number
4/20/2024,COVID-19 deaths,Total,7,Number
4/27/2024,COVID-19 deaths,Total,5,Number
5/4/2024,COVID-19 deaths,Total,,Number
5/11/2024,COVID-19 deaths,Total,7,Number
5/18/2024,COVID-19 deaths,Total,6,Number
5/25/2024,COVID-19 deaths,Total,,Number
6/1/2024,COVID-19 deaths,Total,6,Number
6/8/2024,COVID-19 deaths,Total,6,Number
6/15/2024,COVID-19 deaths,Total,16,Number
6/22/2024,COVID-19 deaths,Total,8,Number
6/29/2024,COVID-19 deaths,Total,9,Number
7/6/2024,COVID-19 deaths,Total,11,Number
7/13/2024,COVID-19 deaths,Total,18,Number
7/20/2024,COVID-19 deaths,Total,15,Number
7/27/2024,COVID-19 deaths,Total,19,Number
8/3/2024,COVID-19 deaths,Total,20,Number
8/10/2024,COVID-19 deaths,Total,26,Number
8/17/2024,COVID-19 deaths,Total,16,Number
8/24/2024,COVID-19 deaths,Total,19,Number
8/31/2024,COVID-19 deaths,Total,13,Number
9/7/2024,COVID-19 deaths,Total,22,Number
9/14/2024,COVID-19 deaths,Total,14,Number
9/21/2024,COVID-19 deaths,Total,16,Number
9/28/2024,COVID-19 deaths,Total,7,Number
10/5/2024,COVID-19 deaths,Total,11,Number
10/12/2024,COVID-19 deaths,Total,10,Number
10/19/2024,COVID-19 deaths,Total,8,Number
10/26/2024,COVID-19 deaths,Total,8,Number
11/2/2024,COVID-19 deaths,Total,7,Number
11/9/2024,COVID-19 deaths,Total,6,Number
11/16/2024,COVID-19 deaths,Total,6,Number
11/23/2024,COVID-19 deaths,Total,5,Number
11/30/2024,COVID-19 deaths,Total,,Number
12/7/2024,COVID-19 deaths,Total,,Number
12/14/2024,COVID-19 deaths,Total,8,Number
12/21/2024,COVID-19 deaths,Total,8,Number
12/28/2024,COVID-19 deaths,Total,5,Number
1/4/2025,COVID-19 deaths,Total,16,Number
1/11/2025,COVID-19 deaths,Total,14,Number
1/18/2025,COVID-19 deaths,Total,18,Number
1/25/2025,COVID-19 deaths,Total,13,Number
2/1/2025,COVID-19 deaths,Total,14,Number
2/8/2025,COVID-19 deaths,Total,19,Number
2/15/2025,COVID-19 deaths,Total,16,Number
2/22/2025,COVID-19 deaths,Total,17,Number
3/1/2025,COVID-19 deaths,Total,20,Number
3/8/2025,COVID-19 deaths,Total,15,Number
3/15/2025,COVID-19 deaths,Total,14,Number
3/22/2025,COVID-19 deaths,Total,14,Number
3/29/2025,COVID-19 deaths,Total,13,Number
